epoch,train_loss,val_accuracy
1,2.3175,0.3985
2,1.5711,0.4635
3,1.3094,0.509
4,1.1125,0.596
5,0.9697,0.5855
6,0.8386,0.5992
7,0.7342,0.6018
8,0.6515,0.6165
9,0.6019,0.6296
10,0.4868,0.6492
